Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
claim,0,PRIMARY,1,ClaimNum,A,18486,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexPlanNum,1,PlanNum,A,1848,NULL,NULL,,BTREE,,,YES,NULL
claim,1,InsSubNum,1,InsSubNum,A,3081,NULL,NULL,,BTREE,,,YES,NULL
claim,1,InsSubNum2,1,InsSubNum2,A,528,NULL,NULL,,BTREE,,,YES,NULL
claim,1,CustomTracking,1,CustomTracking,A,21,NULL,NULL,,BTREE,,,YES,NULL
claim,1,ProvOrderOverride,1,ProvOrderOverride,A,1,NULL,NULL,,BTREE,,,YES,NULL
claim,1,SecUserNumEntry,1,SecUserNumEntry,A,21,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,1,PlanNum,A,1848,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,2,ClaimStatus,A,2310,NULL,NULL,YES,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,3,ClaimType,A,2640,NULL,NULL,YES,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,4,PatNum,A,4621,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,5,ClaimNum,A,18486,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,6,DateService,A,18486,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,7,ProvTreat,A,18486,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,8,ClaimFee,A,18486,NULL,NULL,,BTREE,,,YES,NULL
claim,1,indexOutClaimCovering,9,ClinicNum,A,18486,NULL,NULL,,BTREE,,,YES,NULL
claim,1,OrderingReferralNum,1,OrderingReferralNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
claim,1,ProvBill,1,ProvBill,A,5,NULL,NULL,,BTREE,,,YES,NULL
claim,1,ProvTreat,1,ProvTreat,A,9,NULL,NULL,,BTREE,,,YES,NULL
claim,1,ClinicNum,1,ClinicNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
claim,1,PatStatusTypeDate,1,PatNum,A,3697,NULL,NULL,,BTREE,,,YES,NULL
claim,1,PatStatusTypeDate,2,ClaimStatus,A,3697,NULL,NULL,YES,BTREE,,,YES,NULL
claim,1,PatStatusTypeDate,3,ClaimType,A,4621,NULL,NULL,YES,BTREE,,,YES,NULL
claim,1,PatStatusTypeDate,4,DateSent,A,18486,NULL,NULL,,BTREE,,,YES,NULL
