Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
paysplit,0,PRIMARY,1,SplitNum,A,1359257,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,indexPatNum,1,PatNum,A,21923,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,ProcNum,1,ProcNum,A,339814,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,PayNum,1,PayNum,A,271851,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,ClinicNum,1,ClinicNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,DatePay,1,DatePay,A,8942,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,PayPlanNum,1,PayPlanNum,A,2,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,SecUserNumEntry,1,SecUserNumEntry,A,19,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,PrepaymentNum,1,FSplitNum,A,679628,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,indexPNAmt,1,ProcNum,A,339814,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,indexPNAmt,2,SplitAmt,A,453085,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,AdjNum,1,AdjNum,A,46870,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,PayPlanChargeNum,1,PayPlanChargeNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,ProvNum,1,ProvNum,A,36,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,SecDateTEditPN,1,SecDateTEdit,A,20594,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,SecDateTEditPN,2,PatNum,A,67962,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,idx_paysplit_patnum_datepay,1,PatNum,A,21923,NULL,NULL,,BTREE,,,YES,NULL
paysplit,1,idx_paysplit_patnum_datepay,2,DatePay,A,271851,NULL,NULL,,BTREE,,,YES,NULL
