Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
appointment,0,PRIMARY,1,AptNum,A,68809,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,indexPatNum,1,PatNum,A,7645,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,indexNextAptNum,1,NextAptNum,A,2085,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,indexProvNum,1,ProvNum,A,15,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,indexProvHyg,1,ProvHyg,A,15,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,indexAptDateTime,1,AptDateTime,A,34404,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,InsPlan1,1,InsPlan1,A,2457,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,InsPlan2,1,InsPlan2,A,332,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,DateTimeArrived,1,DateTimeArrived,A,22936,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,AppointmentTypeNum,1,AppointmentTypeNum,A,13,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,Op,1,Op,A,15,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,SecUserNumEntry,1,SecUserNumEntry,A,33,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,StatusDate,1,AptStatus,A,6,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,StatusDate,2,AptDateTime,A,34404,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,StatusDate,3,ClinicNum,A,34404,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,Priority,1,Priority,A,1,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,UnschedStatus,1,UnschedStatus,A,6,NULL,NULL,,BTREE,,,YES,NULL
appointment,1,ClinicNum,1,ClinicNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
