Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
commlog,0,PRIMARY,1,CommlogNum,A,678148,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,PatNum,1,PatNum,A,14742,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,CommDateTime,1,CommDateTime,A,226049,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,CommType,1,CommType,A,20,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,ProgramNum,1,ProgramNum,A,2,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,indexPNCDateCType,1,PatNum,A,14742,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,indexPNCDateCType,2,CommDateTime,A,339074,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,indexPNCDateCType,3,CommType,A,678148,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,UserNum,1,UserNum,A,46,NULL,NULL,,BTREE,,,YES,NULL
commlog,1,ReferralNum,1,ReferralNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
