Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
patient,0,PRIMARY,1,PatNum,A,31513,NULL,NULL,,BTREE,,,YES,NULL
patient,1,indexLName,1,LName,A,7878,10,NULL,YES,BTREE,,,YES,NULL
patient,1,indexFName,1,FName,A,6302,10,NULL,YES,BTREE,,,YES,NULL
patient,1,indexLFName,1,LName,A,7878,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,indexLFName,2,FName,A,31513,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,indexGuarantor,1,Guarantor,A,15756,NULL,NULL,,BTREE,,,YES,NULL
patient,1,ResponsParty,1,ResponsParty,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,SuperFamily,1,SuperFamily,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,SiteNum,1,SiteNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,PatStatus,1,PatStatus,A,6,NULL,NULL,,BTREE,,,YES,NULL
patient,1,Email,1,Email,A,6302,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,ChartNumber,1,ChartNumber,A,31513,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,SecUserNumEntry,1,SecUserNumEntry,A,23,NULL,NULL,,BTREE,,,YES,NULL
patient,1,HmPhone,1,HmPhone,A,15756,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,WirelessPhone,1,WirelessPhone,A,7878,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,WkPhone,1,WkPhone,A,6302,NULL,NULL,YES,BTREE,,,YES,NULL
patient,1,PatNumCloneFrom,1,PatNumCloneFrom,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,DiscountPlanNum,1,DiscountPlanNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,FeeSched,1,FeeSched,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,SecDateEntry,1,SecDateEntry,A,1050,NULL,NULL,,BTREE,,,YES,NULL
patient,1,PriProv,1,PriProv,A,10,NULL,NULL,,BTREE,,,YES,NULL
patient,1,SecProv,1,SecProv,A,13,NULL,NULL,,BTREE,,,YES,NULL
patient,1,ClinicPatStatus,1,ClinicNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
patient,1,ClinicPatStatus,2,PatStatus,A,6,NULL,NULL,,BTREE,,,YES,NULL
patient,1,BirthdateStatus,1,Birthdate,A,15756,NULL,NULL,,BTREE,,,YES,NULL
patient,1,BirthdateStatus,2,PatStatus,A,31513,NULL,NULL,,BTREE,,,YES,NULL
patient,1,idx_patient_patnum_guarantor,1,PatNum,A,31513,NULL,NULL,,BTREE,,,YES,NULL
patient,1,idx_patient_patnum_guarantor,2,Guarantor,A,31513,NULL,NULL,,BTREE,,,YES,NULL
