Table,Non_unique,Key_name,Seq_in_index,Column_name,Collation,Cardinality,Sub_part,Packed,Null,Index_type,Comment,Index_comment,Visible,Expression
procedurelog,0,PRIMARY,1,ProcNum,A,691849,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,CodeNum,1,CodeNum,A,728,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,PlannedAptNum,1,PlannedAptNum,A,2283,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,BillingTypeOne,1,BillingTypeOne,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,BillingTypeTwo,1,BillingTypeTwo,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,Prognosis,1,Prognosis,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,procedurelog_ProcNumLab,1,ProcNumLab,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,StatementNum,1,StatementNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,RepeatChargeNum,1,RepeatChargeNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,ProvOrderOverride,1,ProvOrderOverride,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexPNPSCN,1,PatNum,A,22317,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexPNPSCN,2,ProcStatus,A,46123,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexPNPSCN,3,ClinicNum,A,46123,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexPNPD,1,ProvNum,A,49,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexPNPD,2,ProcDate,A,31447,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,SecUserNumEntry,1,SecUserNumEntry,A,33,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,ClinicNum,1,ClinicNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexAgingCovering,1,PatNum,A,22317,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexAgingCovering,2,ProcStatus,A,46123,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexAgingCovering,3,ProcFee,A,345924,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexAgingCovering,4,UnitQty,A,345924,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexAgingCovering,5,BaseUnits,A,345924,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,indexAgingCovering,6,ProcDate,A,691849,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,OrderingReferralNum,1,OrderingReferralNum,A,1,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,PatStatusCodeDate,1,PatNum,A,22317,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,PatStatusCodeDate,2,ProcStatus,A,46123,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,PatStatusCodeDate,3,CodeNum,A,345924,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,PatStatusCodeDate,4,ProcDate,A,691849,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,DateComplete,1,DateComplete,A,1049,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,RadiologyProcs,1,AptNum,A,43240,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,RadiologyProcs,2,CodeNum,A,98835,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,RadiologyProcs,3,ProcStatus,A,115308,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,RadiologyProcs,4,IsCpoe,A,115308,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,RadiologyProcs,5,ProvNum,A,115308,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,Priority,1,Priority,A,15,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,DateClinicStatus,1,ProcDate,A,8437,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,DateClinicStatus,2,ClinicNum,A,8437,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,DateClinicStatus,3,ProcStatus,A,18698,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,DateTStampPN,1,DateTStamp,A,115308,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,DateTStampPN,2,PatNum,A,138369,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,idx_procedurelog_patnum_procdate,1,PatNum,A,22317,NULL,NULL,,BTREE,,,YES,NULL
procedurelog,1,idx_procedurelog_patnum_procdate,2,ProcDate,A,230616,NULL,NULL,,BTREE,,,YES,NULL
